"id","title","bpm","key","time_signature","mood","genre","movement","character"
27639526,All Night Magnetism.mp3,82,gsMinor,4/4,"[0.0164, 0.3593, 0.7696, 0.021, 0.1561, 0.0934, 0.682, 0.4526, 0.0476, 0.0075, 0.5416, 0.1885, 0.3846]","[0.0446, 0.0163, 0.0395, 0.0506, 0.004, 0.0227, 0.008, 0.0819, 0.0068, 0.0421, 0.1397, 0.0183, 0.0122, 0.0041, 0.133, 0.2149, 0.0427, 0.2778, 0.0237, 0.0053, 0.0148, 0.0252, 0.0066]","[0.3077, 0.0514, 0.2674, 0.7302, 0.0061, 0.1287, 0.0351, 0.0172, 0.2748, 0.0925]","[0.0329, 0.5712, 0.0089, 0.0788, 0.0253, 0.3284, 0.031, 0.0189, 0.1835, 0.0271, 0.0824, 0.1724, 0.314, 0.0137, 0.0285, 0.3218]"
27639524,Battlefield Stray.mp3,153,dsMinor,4/4,"[0.7732, 0.0859, 0.0299, 0.4397, 0.7862, 0.2623, 0.2121, 0.0254, 0.0718, 0.4279, 0.3925, 0.0935, 0.5866]","[0.0409, 0.0134, 0.1283, 0.0344, 0.0065, 0.0298, 0.0147, 0.1507, 0.007, 0.0254, 0.0108, 0.0069, 0.0038, 0.0115, 0.1134, 0.3117, 0.0267, 0.1927, 0.0345, 0.0124, 0.0473, 0.0619, 0.0279]","[0.2828, 0.3966, 0.0687, 0.245, 0.0129, 0.1197, 0.5667, 0.2773, 0.0799, 0.2493]","[0.8219, 0.4311, 0.1421, 0.0254, 0.2543, 0.1433, 0.0136, 0.1417, 0.294, 0.4339, 0.0141, 0.033, 0.0144, 0.0178, 0.7017, 0.0141]"
27639523,Chasing Shadows.mp3,165,bMinor,4/4,"[0.3196, 0.378, 0.1919, 0.2896, 0.5477, 0.24, 0.3471, 0.1162, 0.146, 0.1684, 0.1896, 0.339, 0.5105]","[0.0276, 0.0813, 0.0533, 0.0515, 0.0119, 0.0415, 0.0153, 0.1768, 0.0123, 0.0189, 0.0157, 0.0172, 0.0083, 0.0148, 0.0585, 0.0448, 0.0157, 0.0482, 0.0325, 0.0135, 0.0319, 0.1066, 0.0114]","[0.1453, 0.2708, 0.2186, 0.0939, 0.0349, 0.2961, 0.5526, 0.1943, 0.1216, 0.1286]","[0.137, 0.2973, 0.1705, 0.2821, 0.1483, 0.1369, 0.0788, 0.2012, 0.1944, 0.1911, 0.0547, 0.07, 0.2214, 0.0615, 0.26, 0.0883]"
27639522,Cozy Dreams.mp3,100,gMajor,4/4,"[0.0719, 0.5368, 0.3889, 0.2808, 0.0949, 0.0278, 0.1133, 0.3498, 0.56, 0.0899, 0.0904, 0.3083, 0.0923]","[0.0275, 0.1354, 0.0134, 0.0299, 0.0903, 0.0322, 0.0089, 0.0267, 0.0177, 0.0089, 0.0048, 0.0413, 0.0115, 0.0204, 0.0562, 0.0145, 0.0147, 0.0236, 0.0776, 0.0332, 0.0446, 0.2138, 0.0034]","[0.0512, 0.0778, 0.386, 0.0527, 0.1029, 0.1097, 0.0714, 0.0682, 0.4192, 0.0691]","[0.0857, 0.1706, 0.0235, 0.2942, 0.0259, 0.0584, 0.0713, 0.2626, 0.1117, 0.0202, 0.2312, 0.0607, 0.0825, 0.4149, 0.1119, 0.2142]"
27639521,Cybernetic Frenzy.mp3,147,bMinor,4/4,"[0.7007, 0.1126, 0.0527, 0.3943, 0.7473, 0.1691, 0.2698, 0.027, 0.0752, 0.3209, 0.0759, 0.1275, 0.3707]","[0.0156, 0.0429, 0.0145, 0.0093, 0.0029, 0.0128, 0.0129, 0.4123, 0.0042, 0.0081, 0.0032, 0.0096, 0.0023, 0.0065, 0.0212, 0.0077, 0.0081, 0.0129, 0.0134, 0.0042, 0.004, 0.0407, 0.0028]","[0.1057, 0.5234, 0.0252, 0.0367, 0.0264, 0.3242, 0.7582, 0.4334, 0.0656, 0.0454]","[0.1679, 0.1776, 0.1935, 0.1487, 0.0998, 0.057, 0.018, 0.1579, 0.2535, 0.3014, 0.0645, 0.0202, 0.0394, 0.1029, 0.3609, 0.0284]"
27639520,Dancing in Desire.mp3,105,eMinor,4/4,"[0.0993, 0.157, 0.4987, 0.0248, 0.4591, 0.0976, 0.6752, 0.1688, 0.0245, 0.0121, 0.592, 0.0611, 0.5082]","[0.093, 0.0165, 0.0156, 0.0326, 0.0076, 0.0399, 0.0061, 0.1007, 0.0095, 0.1194, 0.0101, 0.0207, 0.0056, 0.0021, 0.071, 0.1062, 0.0667, 0.1423, 0.0254, 0.0114, 0.0196, 0.092, 0.0068]","[0.3062, 0.0907, 0.0663, 0.9149, 0.0021, 0.0816, 0.0328, 0.0688, 0.2208, 0.0462]","[0.1395, 0.6706, 0.0127, 0.0236, 0.0361, 0.1413, 0.0078, 0.0152, 0.0391, 0.1732, 0.4265, 0.0849, 0.0704, 0.0127, 0.1625, 0.2215]"
27639519,Drifting Through Circuits.mp3,90,fsMinor,4/4,"[0.1655, 0.5871, 0.3412, 0.4026, 0.2909, 0.0486, 0.2363, 0.0942, 0.2206, 0.1522, 0.073, 0.3276, 0.2149]","[0.0552, 0.1903, 0.0158, 0.0087, 0.0213, 0.0667, 0.0187, 0.1466, 0.011, 0.0203, 0.0058, 0.0325, 0.0089, 0.0234, 0.0364, 0.0183, 0.0191, 0.0279, 0.046, 0.0248, 0.0293, 0.1465, 0.0093]","[0.0822, 0.1286, 0.2348, 0.1399, 0.0132, 0.4188, 0.5037, 0.0859, 0.1848, 0.0392]","[0.028, 0.2249, 0.0224, 0.3744, 0.029, 0.1547, 0.0591, 0.3646, 0.0914, 0.0288, 0.0519, 0.0598, 0.1374, 0.3519, 0.1233, 0.1318]"
27639518,Electric Hypnosis.mp3,128,fsMinor,4/4,"[0.1244, 0.0668, 0.1721, 0.0573, 0.6582, 0.1913, 0.6554, 0.092, 0.0386, 0.0254, 0.5012, 0.0432, 0.6503]","[0.0776, 0.0141, 0.0572, 0.0201, 0.006, 0.0138, 0.0053, 0.4739, 0.0066, 0.0383, 0.0323, 0.0136, 0.0119, 0.0053, 0.1586, 0.0377, 0.0168, 0.0493, 0.0375, 0.0065, 0.0022, 0.0122, 0.0044]","[0.3437, 0.3294, 0.0206, 0.5896, 0.0044, 0.4759, 0.1467, 0.0856, 0.2548, 0.2794]","[0.11, 0.4532, 0.0501, 0.0332, 0.0462, 0.2046, 0.0084, 0.0368, 0.0579, 0.3413, 0.1219, 0.0947, 0.2398, 0.0276, 0.1403, 0.057]"
27639517,Hazy City Lights.mp3,170,dMajor,4/4,"[0.0952, 0.5335, 0.2643, 0.535, 0.1072, 0.0515, 0.0544, 0.122, 0.4427, 0.2342, 0.0645, 0.4124, 0.0979]","[0.0472, 0.2505, 0.0142, 0.0141, 0.0206, 0.0484, 0.015, 0.0782, 0.0091, 0.0127, 0.0063, 0.0401, 0.0098, 0.036, 0.0438, 0.0222, 0.0124, 0.0443, 0.0419, 0.0165, 0.0334, 0.1659, 0.0067]","[0.0267, 0.0521, 0.4319, 0.0548, 0.0235, 0.4756, 0.1179, 0.046, 0.4964, 0.037]","[0.0279, 0.1773, 0.0658, 0.5487, 0.0392, 0.0502, 0.0798, 0.4767, 0.0473, 0.036, 0.023, 0.0399, 0.1069, 0.4027, 0.1666, 0.1332]"
27639516,March of the Unyielding.mp3,63,cMajor,3/4,"[0.252, 0.3442, 0.2075, 0.2945, 0.4131, 0.2473, 0.2967, 0.2169, 0.2413, 0.1793, 0.102, 0.2573, 0.4088]","[0.0399, 0.1072, 0.027, 0.0326, 0.0195, 0.0623, 0.0362, 0.0902, 0.0146, 0.0155, 0.0131, 0.0415, 0.0139, 0.0416, 0.0535, 0.0188, 0.0145, 0.0279, 0.0547, 0.0286, 0.0331, 0.2366, 0.0137]","[0.0971, 0.2182, 0.2893, 0.056, 0.0773, 0.2407, 0.23, 0.1617, 0.1537, 0.1473]","[0.064, 0.1698, 0.2053, 0.2709, 0.193, 0.1235, 0.108, 0.2186, 0.0998, 0.1487, 0.0505, 0.1314, 0.213, 0.1122, 0.1518, 0.138]"
27639515,Midnight Fire.mp3,140,eMinor,4/4,"[0.2788, 0.1988, 0.2564, 0.1056, 0.4844, 0.1226, 0.4075, 0.099, 0.1275, 0.0603, 0.4392, 0.0939, 0.4494]","[0.0244, 0.0023, 0.0052, 0.0046, 0.6326, 0.0148, 0.005, 0.0026, 0.0118, 0.0133, 0.0016, 0.0324, 0.0034, 0.0267, 0.0448, 0.006, 0.0089, 0.0083, 0.0958, 0.0316, 0.003, 0.0455, 0.0014]","[0.2212, 0.235, 0.0894, 0.3247, 0.0267, 0.0651, 0.0387, 0.0826, 0.2331, 0.3088]","[0.4491, 0.5178, 0.0227, 0.0526, 0.0555, 0.0622, 0.0104, 0.0568, 0.0815, 0.1516, 0.4144, 0.0306, 0.0214, 0.0232, 0.4435, 0.0659]"
27639514,Midnight Rendezvous.mp3,105,cMajor,4/4,"[0.0121, 0.4602, 0.7409, 0.0236, 0.025, 0.0165, 0.2044, 0.7352, 0.316, 0.0067, 0.5643, 0.0982, 0.0606]","[0.0056, 0.0277, 0.0025, 0.0008, 0.0014, 0.0696, 0.0107, 0.0009, 0.0005, 0.0054, 0.0003, 0.6068, 0.0066, 0.0, 0.0041, 0.0003, 0.0015, 0.0047, 0.0018, 0.004, 0.0014, 0.049, 0.0002]","[0.0482, 0.0206, 0.6194, 0.0648, 0.0416, 0.0413, 0.0155, 0.0255, 0.3309, 0.0307]","[0.0107, 0.6903, 0.0022, 0.0735, 0.0071, 0.4538, 0.0281, 0.0311, 0.025, 0.0035, 0.1614, 0.73, 0.0305, 0.0357, 0.0088, 0.6495]"
27639513,Midnight Sway.mp3,100,dMajor,4/4,"[0.015, 0.586, 0.8041, 0.0702, 0.05, 0.0347, 0.3443, 0.6238, 0.1748, 0.0185, 0.3261, 0.3552, 0.1012]","[0.0451, 0.154, 0.0046, 0.0052, 0.0022, 0.0187, 0.0029, 0.0723, 0.0032, 0.0119, 0.0018, 0.0186, 0.005, 0.0009, 0.0455, 0.0386, 0.0093, 0.1101, 0.012, 0.0043, 0.0124, 0.0373, 0.0014]","[0.0961, 0.0343, 0.6355, 0.2721, 0.0172, 0.1085, 0.0428, 0.0198, 0.4877, 0.017]","[0.0044, 0.2853, 0.0248, 0.2549, 0.0164, 0.3171, 0.096, 0.0747, 0.0462, 0.0085, 0.1545, 0.3636, 0.382, 0.1138, 0.016, 0.5828]"
27639512,Mountaintop Soul.mp3,147,gMajor,4/4,"[0.3155, 0.2377, 0.1441, 0.1513, 0.6732, 0.4288, 0.3346, 0.1289, 0.1234, 0.0881, 0.0941, 0.194, 0.6236]","[0.0274, 0.0839, 0.0123, 0.0177, 0.0127, 0.04, 0.0205, 0.0376, 0.0097, 0.0063, 0.0053, 0.0342, 0.0075, 0.0708, 0.04, 0.0121, 0.01, 0.0147, 0.0604, 0.0212, 0.0136, 0.2989, 0.0062]","[0.0596, 0.3496, 0.1674, 0.061, 0.0386, 0.1955, 0.1166, 0.1789, 0.1475, 0.4436]","[0.2254, 0.2571, 0.3051, 0.1332, 0.2971, 0.0459, 0.0595, 0.0711, 0.0744, 0.3812, 0.038, 0.0344, 0.1206, 0.027, 0.4034, 0.0881]"
27639511,Neon Pulse.mp3,128,cMajor,4/4,"[0.0497, 0.13, 0.2971, 0.0132, 0.5258, 0.1536, 0.8292, 0.2093, 0.0226, 0.006, 0.3169, 0.0655, 0.7647]","[0.0409, 0.0711, 0.0601, 0.0179, 0.0024, 0.0141, 0.0056, 0.7425, 0.0044, 0.0046, 0.0034, 0.0047, 0.0034, 0.0037, 0.0627, 0.0168, 0.0044, 0.024, 0.012, 0.0027, 0.0082, 0.0482, 0.0016]","[0.2497, 0.2548, 0.0549, 0.2245, 0.0054, 0.6929, 0.0749, 0.0562, 0.1793, 0.3086]","[0.0163, 0.253, 0.0375, 0.0495, 0.0509, 0.4145, 0.0157, 0.014, 0.0981, 0.1217, 0.0326, 0.0935, 0.5526, 0.0143, 0.0243, 0.1049]"
27639510,Rainy Reflections.mp3,172,gMajor,3/4,"[0.0189, 0.6362, 0.5604, 0.0601, 0.0394, 0.0405, 0.22, 0.7391, 0.3657, 0.0153, 0.0332, 0.2995, 0.1082]","[0.0217, 0.4519, 0.0071, 0.0086, 0.0022, 0.0335, 0.037, 0.0269, 0.0031, 0.002, 0.0051, 0.0381, 0.0042, 0.0009, 0.008, 0.0021, 0.0031, 0.0069, 0.0033, 0.0026, 0.0637, 0.1393, 0.0022]","[0.0474, 0.0229, 0.7544, 0.0077, 0.1534, 0.0743, 0.0412, 0.015, 0.4229, 0.0246]","[0.0059, 0.059, 0.0178, 0.3072, 0.0506, 0.1345, 0.1811, 0.089, 0.3109, 0.0073, 0.0744, 0.3842, 0.2132, 0.1273, 0.0106, 0.4939]"
27639509,Rising Dawn.mp3,115,dMinor,3/4,"[0.5611, 0.2128, 0.0392, 0.597, 0.7461, 0.7065, 0.104, 0.031, 0.2207, 0.4123, 0.0221, 0.2091, 0.4154]","[0.0185, 0.0706, 0.0132, 0.0111, 0.0101, 0.0188, 0.0094, 0.0599, 0.0038, 0.0089, 0.0063, 0.0173, 0.0031, 0.0425, 0.0257, 0.01, 0.0073, 0.0128, 0.0379, 0.0156, 0.0143, 0.4814, 0.0076]","[0.0293, 0.5136, 0.1197, 0.0121, 0.0225, 0.5583, 0.3025, 0.3816, 0.0561, 0.2779]","[0.0822, 0.0747, 0.7433, 0.2288, 0.5608, 0.0276, 0.0946, 0.2984, 0.0109, 0.4928, 0.0235, 0.0632, 0.0681, 0.0443, 0.2186, 0.018]"
27639508,Storm of Chaos.mp3,135,dsMinor,4/4,"[0.7066, 0.1388, 0.0735, 0.4846, 0.7095, 0.1961, 0.2942, 0.058, 0.1458, 0.4933, 0.0976, 0.1457, 0.4125]","[0.0104, 0.0553, 0.0084, 0.0131, 0.0072, 0.0158, 0.0178, 0.0146, 0.0046, 0.0044, 0.0041, 0.0173, 0.006, 0.4388, 0.0269, 0.0105, 0.0055, 0.0132, 0.0606, 0.0141, 0.0323, 0.2634, 0.0067]","[0.0833, 0.4818, 0.0782, 0.0646, 0.1754, 0.121, 0.1355, 0.4723, 0.1028, 0.32]","[0.4949, 0.1696, 0.2406, 0.1548, 0.2643, 0.0341, 0.0654, 0.2242, 0.1539, 0.4811, 0.0783, 0.0318, 0.0543, 0.0824, 0.5469, 0.0429]"
27639507,Sunset Serenade.mp3,98,aMajor,4/4,"[0.0552, 0.4128, 0.6141, 0.0448, 0.2098, 0.0634, 0.5402, 0.532, 0.1471, 0.0209, 0.2772, 0.1516, 0.2256]","[0.0238, 0.0264, 0.007, 0.0091, 0.0198, 0.1297, 0.019, 0.0039, 0.0037, 0.0172, 0.0029, 0.2885, 0.0626, 0.0183, 0.0334, 0.0067, 0.0061, 0.0306, 0.0314, 0.0185, 0.0146, 0.0587, 0.0045]","[0.3532, 0.1741, 0.2876, 0.129, 0.0735, 0.0832, 0.0645, 0.0964, 0.313, 0.0339]","[0.0209, 0.3528, 0.0148, 0.1674, 0.0325, 0.1762, 0.0732, 0.0459, 0.1846, 0.0143, 0.1241, 0.2981, 0.109, 0.0763, 0.0232, 0.4239]"
27639506,Unleashed Chaos.mp3,195,dsMinor,4/4,"[0.9163, 0.0289, 0.0187, 0.2726, 0.9342, 0.1692, 0.3172, 0.0201, 0.0388, 0.3244, 0.0653, 0.0283, 0.565]","[0.0052, 0.0132, 0.0276, 0.0185, 0.0137, 0.0138, 0.0115, 0.0114, 0.0032, 0.0031, 0.0022, 0.0258, 0.0026, 0.0768, 0.0263, 0.0104, 0.0098, 0.005, 0.0813, 0.0403, 0.0056, 0.5247, 0.0044]","[0.042, 0.7138, 0.0193, 0.0498, 0.0438, 0.0684, 0.1032, 0.7503, 0.0634, 0.2863]","[0.6542, 0.128, 0.2931, 0.0215, 0.2449, 0.0113, 0.0144, 0.0488, 0.1255, 0.7014, 0.0654, 0.0082, 0.0254, 0.0108, 0.748, 0.0145]"
